HCHO_Reading,Location,Current_Date,Next_Date,STATION,LATITUDE,LONGITUDE,ELEVATION,PRCP,TAVG,TMAX,TMIN
6.543632959168698e-05,Nuwara Eliya Proper,2019-03-10,2019-03-11,CE000434730,6.967,80.767,1880.0,0.0,62,71,48
0.0002401309050569,Colombo Proper,2019-03-11,2019-03-12,CEM00043466,6.9,79.867,7.0,0.0,84,89,77
6.152930957380892e-05,Nuwara Eliya Proper,2019-03-11,2019-03-12,CE000434730,6.967,80.767,1880.0,0.0,61,71,77
0.0002577451751777,Colombo Proper,2019-03-12,2019-03-13,CEM00043466,6.9,79.867,7.0,0.0,83,71,77
0.0002626515739848,Nuwara Eliya Proper,2019-03-12,2019-03-13,CE000434730,6.967,80.767,1880.0,0.0,61,71,45
0.0002548286008604,Colombo Proper,2019-03-13,2019-03-14,CEM00043466,6.9,79.867,7.0,0.0,84,96,77
0.0003018449398759,Nuwara Eliya Proper,2019-03-13,2019-03-14,CE000434730,6.967,80.767,1880.0,0.0,62,96,51
0.0003018449398759,Colombo Proper,2019-03-14,2019-03-15,CEM00043466,6.9,79.867,7.0,0.0,84,90,79
9.745691103711994e-05,Nuwara Eliya Proper,2019-03-14,2019-03-15,CE000434730,6.967,80.767,1880.0,0.0,63,74,54
0.0001790542755015,Colombo Proper,2019-03-15,2019-03-16,CEM00043466,6.9,79.867,7.0,0.0,85,91,79
0.0001547611296419,Nuwara Eliya Proper,2019-03-15,2019-03-16,CE000434730,6.967,80.767,1880.0,0.0,62,77,49
0.0003507194301071,Colombo Proper,2019-03-16,2019-03-17,CEM00043466,6.9,79.867,7.0,0.0,83,77,78
0.0001265224542416,Nuwara Eliya Proper,2019-03-16,2019-03-17,CE000434730,6.967,80.767,1880.0,0.0,61,77,50
0.0002494769497451,Colombo Proper,2019-03-17,2019-03-18,CEM00043466,6.9,79.867,7.0,0.01,81,96,75
0.0002494769497451,Nuwara Eliya Proper,2019-03-17,2019-03-18,CE000434730,6.967,80.767,1880.0,0.0,60,96,54
4.457512841327116e-05,Colombo Proper,2019-03-18,2019-03-19,CEM00043466,6.9,79.867,7.0,0.46,83,90,75
4.457512841327116e-05,Nuwara Eliya Proper,2019-03-18,2019-03-19,CE000434730,6.967,80.767,1880.0,0.0,61,73,72
0.0002074590335083,Colombo Proper,2019-03-19,2019-03-20,CEM00043466,6.9,79.867,7.0,0.91,83,89,74
3.81896059352209e-05,Nuwara Eliya Proper,2019-03-19,2019-03-20,CE000434730,6.967,80.767,1880.0,0.16,60,72,48
0.0002559950022304,Colombo Proper,2019-03-20,2019-03-21,CEM00043466,6.9,79.867,7.0,0.0,85,91,78
-4.17166297978817e-06,Nuwara Eliya Proper,2019-03-20,2019-03-21,CE000434730,6.967,80.767,1880.0,0.0,60,73,44
-4.17166297978817e-06,Colombo Proper,2019-03-21,2019-03-22,CEM00043466,6.9,79.867,7.0,0.0,83,73,78
0.0002689655073385,Nuwara Eliya Proper,2019-03-21,2019-03-22,CE000434730,6.967,80.767,1880.0,0.0,58,73,49
0.0002689655073385,Colombo Proper,2019-03-22,2019-03-23,CEM00043466,6.9,79.867,7.0,0.0,85,90,78
6.845485111101992e-05,Nuwara Eliya Proper,2019-03-22,2019-03-23,CE000434730,6.967,80.767,1880.0,0.21,61,90,51
0.000144005550838,Colombo Proper,2019-03-23,2019-03-24,CEM00043466,6.9,79.867,7.0,0.06,81,90,51
0.0001184572953092,Nuwara Eliya Proper,2019-03-23,2019-03-24,CE000434730,6.967,80.767,1880.0,0.0,60,73,73
0.0002204458373225,Colombo Proper,2019-03-24,2019-03-25,CEM00043466,6.9,79.867,7.0,0.0,84,91,76
